step,train_loss_step,epoch,train_acc_step,train_loss,train_acc_step_epoch,train_loss_epoch,test_loss,test_acc
49,2.0972044467926025,0,,,,,,
99,1.272010326385498,0,,,,,,
149,0.34285515546798706,0,,,,,,
199,0.4324384331703186,0,,,,,,
249,0.4330599308013916,0,,,,,,
249,,0,0.6635000109672546,0.43843838572502136,,,,
249,,0,,,0.0,1.1849572658538818,,
299,0.41824495792388916,1,,,,,,
349,0.2938205897808075,1,,,,,,
399,0.09970567375421524,1,,,,,,
449,0.2033153921365738,1,,,,,,
499,0.2917408347129822,1,,,,,,
499,,1,0.90625,0.26905524730682373,,,,
499,,1,,,0.0,0.3230372369289398,,
549,0.37727227807044983,2,,,,,,
599,0.26557186245918274,2,,,,,,
649,0.05115192010998726,2,,,,,,
699,0.12614957988262177,2,,,,,,
749,0.2197808176279068,2,,,,,,
749,,2,0.9315000176429749,0.2077566534280777,,,,
749,,2,,,0.0,0.23153021931648254,,
799,0.31974032521247864,3,,,,,,
849,0.2501700222492218,3,,,,,,
899,0.0317341610789299,3,,,,,,
949,0.09643812477588654,3,,,,,,
999,0.19153428077697754,3,,,,,,
999,,3,0.9452499747276306,0.16878573596477509,,,,
999,,3,,,0.0,0.18003754317760468,,
1049,0.2593776285648346,4,,,,,,
1099,0.20987030863761902,4,,,,,,
1149,0.022959209978580475,4,,,,,,
1199,0.08843585848808289,4,,,,,,
1249,0.17259982228279114,4,,,,,,
1249,,4,0.9556249976158142,0.14172989130020142,,,,
1249,,4,,,0.0,0.14472326636314392,,
1299,0.21119023859500885,5,,,,,,
1349,0.17659588158130646,5,,,,,,
1399,0.016344185918569565,5,,,,,,
1449,0.08357281982898712,5,,,,,,
1499,0.15718363225460052,5,,,,,,
1499,,5,0.9631249904632568,0.12161180377006531,,,,
1499,,5,,,0.0,0.11996544152498245,,
1549,0.17154282331466675,6,,,,,,
1599,0.1452481746673584,6,,,,,,
1649,0.01237727701663971,6,,,,,,
1699,0.0714324414730072,6,,,,,,
1749,0.13779255747795105,6,,,,,,
1749,,6,0.9696249961853027,0.10747117549180984,,,,
1749,,6,,,0.0,0.10137320309877396,,
1799,0.13958856463432312,7,,,,,,
1849,0.12601375579833984,7,,,,,,
1899,0.010083727538585663,7,,,,,,
1949,0.06135638803243637,7,,,,,,
1999,0.1266522854566574,7,,,,,,
1999,,7,0.9752500057220459,0.09531471133232117,,,,
1999,,7,,,0.0,0.0866951271891594,,
2049,0.10948546230792999,8,,,,,,
2099,0.10133513063192368,8,,,,,,
2149,0.008332337252795696,8,,,,,,
2199,0.056928712874650955,8,,,,,,
2249,0.11797401309013367,8,,,,,,
2249,,8,0.9783750176429749,0.08595112711191177,,,,
2249,,8,,,0.0,0.07512393593788147,,
2299,0.08310465514659882,9,,,,,,
2349,0.08038458973169327,9,,,,,,
2399,0.006493215914815664,9,,,,,,
2449,0.05326998606324196,9,,,,,,
2499,0.11418895423412323,9,,,,,,
2499,,9,0.981249988079071,0.07843803614377975,,,,
2499,,9,,,0.0,0.06546910107135773,,
2500,,10,0.0,0.05143197998404503,,,,
2500,,10,,,,,0.05735630542039871,0.9822999835014343
